"text","sentiment","subject","topic","gender"
"BREAKING: No, You Can't Trust @MarcoRubio To Protect Your Guns! #2A #NRA #MarcosMistakes #NHPrimary #VOAV https://t.co/e0pz6","neutral","subjective","Business & Economy","female"
"Team Marco Donor Big DEM Backer! Bankrolled RAHM Emanuel! TWICE! @MarcoRubio #MarcosMistakes #SCPrimary #VOAV https://t.co/Q","neutral","objective","News","male"
"@TGowdySC sitting beside @marcorubio on #Hannity speaks volumes 2me @seanhannity  #WakeUpAmerica","negative","subjective","News","male"
"After Saturday's #GOPDebate @marcorubio took a victory lap on all 5 major Sunday shows! Get the highlights: https://t.co/X","neutral","objective","Sports","male"
"If America doesn't elect @marcorubio as the next president, then I will have officially lost hope for this country. #TeamMarco #Rubio2016","negative","subjective","News","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/HTj","positive","objective","Shopping","male"
"@mdjohnson9 @FoxNews @TGowdySC @marcorubio well, can u tell he is pushing for Rubio he is one of the 8 that Rubio is a member of","positive","objective","News","male"
"@MarcoRubio LIES! As FL House Spkr. He Pushed 4 #CapandTrade! Marco's Record Begins 2 Haunt! #MarcosMistakes #VOAV https://","positive","objective","News","male"
"@DT_Stephenson @nicknamejed @marcorubio LOL that's all you guys have left. Lol too funny","positive","subjective","Home & Domestic Life","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/nk5ArusH4c","positive","objective","Shopping","male"
"As #SCPrimary nears I urge these people to endorse @marcorubio 
@ScottWalker 
@AmbJohnBolton 
@ReaganWorld 
@nikkihaley 
@","neutral","subjective","Science","male"
"@MarcoRubio, Please Call Dan Quayle. All Rhetoric, No Substance! #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/Dh9l","negative","subjective","Society","male"
"RT.@MarcoRubio Wall Street Sponsor Paul Singer Dumped Hundreds of Thousands into Common Core! #marcosmistakes #VOAV h","neutral","objective","News","male"
